feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,labels
-0.36661843,-0.125039859,-1.177096305,0.293803021,-0.566949936,-0.409269508,-0.304531366,6,2,2,0,0,0,2,6,3,0
-0.36661843,-0.300550708,0.503672703,-0.802382433,0.397842799,3.107478706,0.236326038,9,2,1,0,1,0,0,0,1,0
-1.402779701,1.050105663,1.464112136,1.56816703,0.07624522,1.570157344,0.777183443,8,2,1,0,0,0,0,8,1,1
-0.555011389,-0.586484435,-1.177096305,-0.415037749,-0.566949936,-0.409269508,-0.304531366,1,2,1,0,1,0,0,8,3,0
-0.931797305,-0.372438916,-1.417206163,-0.004452385,-0.245352358,1.44958312,0.777183443,4,2,2,0,1,0,0,9,0,0
0.010167486,-0.408706841,-0.336711801,-0.678432134,1.362635534,-0.409269508,-0.304531366,7,1,1,0,1,1,2,8,3,0
-1.025993784,-0.457603775,0.143507915,-0.693925921,-0.566949936,2.866330257,0.777183443,7,1,1,0,1,1,0,0,1,0
-0.555011389,0.102929953,-1.057041376,-0.841116901,0.397842799,-0.409269508,-0.304531366,1,2,1,0,1,0,1,5,3,0
0.386953402,-0.370495992,-1.417206163,-0.341442259,-0.245352358,1.730922977,0.777183443,1,1,1,0,0,0,1,3,0,0
-0.178225472,-0.195956604,-0.816931518,-0.399543962,0.07624522,-0.409269508,-0.304531366,0,0,1,0,0,0,2,6,3,0
-0.931797305,0.022946226,0.143507915,-0.395670515,-0.566949936,-0.409269508,-0.304531366,4,2,2,0,0,0,0,1,3,0
-0.272421951,-0.393811086,-0.57682166,-0.236859195,-0.566949936,-0.409269508,-0.304531366,2,2,0,0,1,0,0,8,3,0
-0.36661843,-0.209557076,1.464112136,-0.848863795,-0.566949936,-0.409269508,-0.304531366,3,1,1,0,0,0,1,4,3,0
-0.649207868,0.348709906,-0.216656872,0.278309234,-0.245352358,-0.409269508,-0.304531366,1,1,1,0,1,0,0,8,3,0
-0.837600826,-0.158393397,-0.936986447,-0.693925921,-0.566949936,-0.409269508,-0.304531366,9,2,2,0,0,0,0,1,3,0
-0.46081491,-0.403201888,1.584167065,-0.779141752,0.397842799,-0.409269508,-0.304531366,3,1,0,0,1,0,0,5,3,0
-0.837600826,-0.20275684,-0.216656872,0.960035877,-0.245352358,3.137622262,0.236326038,8,1,2,0,1,0,0,8,1,0
-0.743404347,0.392749529,1.103947348,-0.066427534,-0.566949936,0.685946365,0.236326038,9,2,1,0,0,0,0,8,0,0
-0.743404347,-0.293426652,-1.417206163,-0.198124727,0.397842799,-0.409269508,-0.304531366,9,0,1,0,0,0,0,3,3,0
-0.084028993,-0.218947878,1.824276923,-0.709419709,3.613818582,-0.409269508,-0.304531366,7,0,1,0,1,0,0,5,3,0
-1.49697618,-0.285007312,-1.057041376,0.526209832,-0.566949936,-0.409269508,-0.304531366,4,2,2,0,0,0,0,11,3,0
1.046328756,-0.099134198,-0.216656872,-0.589342857,-0.245352358,-0.409269508,-0.304531366,9,1,1,0,0,0,0,1,3,0
-0.272421951,0.524544577,-1.657316022,1.370621241,-0.245352358,-0.409269508,-0.304531366,9,2,1,0,1,0,2,6,3,0
-0.837600826,0.274554953,-1.177096305,-0.856610688,-0.245352358,-0.409269508,-0.304531366,4,1,2,0,1,0,0,8,3,0
0.292756923,0.373320284,1.584167065,3.787652066,-0.245352358,-0.409269508,-0.304531366,1,1,1,0,1,0,2,8,3,0
-0.931797305,-0.590370284,0.143507915,-0.391797068,-0.566949936,-0.409269508,-0.304531366,4,1,1,0,1,1,0,5,3,0
1.799900589,-0.420688209,-0.696876589,-0.531241154,0.07624522,-0.409269508,-0.304531366,5,1,0,0,0,0,0,5,3,0
0.010167486,-0.25845401,-1.537261093,0.623046002,-0.245352358,2.323746247,0.777183443,4,2,2,0,1,0,0,3,0,0
1.517311152,-0.402230426,1.584167065,-0.446025324,1.684233112,-0.409269508,-0.304531366,0,1,1,0,0,0,1,5,3,0
-0.555011389,-0.364667218,0.623727632,-0.790762092,2.327428269,-0.409269508,-0.304531366,9,0,3,0,0,0,0,5,3,0
-0.743404347,0.221448349,1.103947348,0.828338685,1.041037955,-0.409269508,-0.304531366,3,1,0,0,0,0,0,1,3,1
-0.555011389,-0.329370756,-0.45676673,1.254417836,-0.566949936,-0.409269508,-0.304531366,6,2,2,0,0,0,0,1,3,1
-0.084028993,-0.329694576,-0.696876589,-0.000578938,-0.566949936,-0.409269508,-0.304531366,7,1,0,0,1,0,0,5,3,0
0.292756923,-0.285654954,1.584167065,-0.465392558,-0.245352358,1.439535268,5.644900083,4,1,1,0,0,1,0,4,0,0
-0.555011389,1.424118635,-0.816931518,-0.43827843,-0.566949936,-0.409269508,-0.304531366,0,1,1,0,1,1,2,6,3,0
-0.837600826,-0.204375944,0.503672703,-0.647444559,0.07624522,-0.409269508,-0.304531366,0,2,1,0,1,0,0,9,3,0
3.401240734,0.428369812,1.103947348,-0.678432134,-0.245352358,0.545276436,6.185757488,5,0,0,0,0,0,0,10,1,0
0.763739319,-0.497757548,-1.057041376,-0.802382433,-0.566949936,-0.409269508,-0.304531366,1,1,0,0,0,0,0,5,3,0
-1.120190263,-0.45566085,-0.936986447,-0.918585838,10.36736773,-0.409269508,-0.304531366,0,2,1,0,1,0,0,5,3,0
-0.931797305,-0.158069576,-1.537261093,0.592058428,-0.566949936,-0.409269508,-0.304531366,9,2,2,0,0,0,0,6,3,1
0.386953402,-0.500348114,1.464112136,-0.167137152,-0.245352358,-0.409269508,-0.304531366,1,1,0,0,1,1,2,8,3,0
-0.178225472,-0.00101651,-0.816931518,-0.794635539,0.397842799,-0.409269508,-0.304531366,7,1,1,0,1,0,2,6,3,0
-0.36661843,1.748910853,-1.297151234,0.235701319,-0.566949936,-0.409269508,-0.304531366,4,1,2,0,0,0,0,7,3,1
1.140525235,1.165062031,-0.936986447,-0.635824219,-0.566949936,2.946713074,0.236326038,5,1,1,0,0,0,0,3,1,0
0.010167486,-0.384420284,1.584167065,0.049775871,-0.566949936,-0.409269508,-0.304531366,10,1,0,0,1,0,0,5,3,0
-0.649207868,-0.347180897,1.464112136,-0.837243454,2.327428269,-0.409269508,-0.304531366,9,1,1,0,0,0,0,1,3,0
-0.649207868,-0.443679482,-0.45676673,-0.546734942,0.397842799,-0.409269508,-0.304531366,6,1,2,0,0,0,0,1,3,0
-0.46081491,-0.337790095,-0.216656872,-0.713293156,1.041037955,-0.409269508,-0.304531366,4,1,2,0,1,0,0,5,3,0
-0.36661843,1.315314861,0.503672703,1.998119629,-0.566949936,-0.409269508,-0.304531366,4,1,2,0,1,1,2,8,3,0
-0.743404347,0.261925944,-1.057041376,-0.159390258,-0.566949936,1.278769635,0.777183443,2,1,2,0,1,1,0,8,1,0
-0.837600826,0.299165331,-1.297151234,0.324790596,-0.245352358,2.213219875,0.777183443,0,0,1,0,1,0,0,3,0,0
-0.931797305,-0.560254954,1.344057206,-0.639697666,-0.245352358,-0.409269508,-0.304531366,9,1,1,0,1,0,2,8,3,0
-1.214386742,-0.225100472,0.143507915,0.932921749,-0.245352358,-0.409269508,-0.304531366,9,1,1,0,1,0,0,0,3,0
0.104363965,-0.809273115,-1.657316022,1.149834772,0.719440377,-0.409269508,-0.304531366,9,2,1,1,1,0,2,6,3,1
-0.837600826,-0.398668397,1.824276923,-0.728786943,0.719440377,-0.409269508,-0.304531366,1,1,1,0,1,1,0,5,3,0
-0.36661843,-0.501319577,-1.177096305,-0.527367707,0.719440377,-0.409269508,-0.304531366,3,2,1,0,1,0,2,6,3,0
0.857935798,-0.503586322,-1.657316022,-0.624203878,-0.566949936,-0.409269508,-0.304531366,0,1,1,0,0,0,0,3,3,0
-0.649207868,1.533893871,0.623727632,-0.558355282,0.07624522,-0.409269508,-0.304531366,9,1,1,0,0,0,0,9,3,0
0.198560444,-0.443679482,1.584167065,-0.062554087,-0.566949936,-0.409269508,-0.304531366,1,1,1,0,1,1,2,8,3,0
0.292756923,-0.362400473,1.464112136,-0.527367707,0.07624522,-0.409269508,-0.304531366,0,1,1,0,0,1,1,5,3,0
0.952132277,-0.336818633,0.623727632,-0.155516811,0.07624522,-0.409269508,-0.304531366,3,0,1,0,0,0,1,9,3,0
-0.743404347,2.154334439,1.103947348,-0.240732642,-0.566949936,0.474941472,1.858898252,9,1,2,0,0,0,0,3,0,0
2.365079464,-0.121477831,1.344057206,-0.492506686,-0.245352358,-0.409269508,-0.304531366,5,1,1,0,0,0,0,3,3,1
1.70570411,-0.397373114,0.383617773,-0.957320306,-0.566949936,-0.409269508,-0.304531366,5,1,0,0,1,0,2,6,3,0
-0.649207868,0.408940567,0.623727632,1.730851797,1.041037955,-0.409269508,-0.304531366,4,2,2,0,1,0,0,9,3,1
-0.084028993,-0.262987501,1.464112136,-0.80625588,0.719440377,-0.409269508,-0.304531366,4,1,2,0,0,0,0,1,3,0
-1.120190263,-0.225748114,-0.816931518,2.234399886,0.07624522,-0.409269508,-0.304531366,9,2,2,0,1,0,0,3,3,1
-0.178225472,0.000926415,0.383617773,0.495222257,-0.245352358,-0.409269508,-0.304531366,4,1,2,0,0,0,0,1,3,0
0.104363965,-0.580331841,-0.816931518,-0.879851369,-0.566949936,-0.409269508,-0.304531366,1,1,1,0,0,0,0,5,3,0
0.575346361,-0.173612972,0.623727632,2.493920824,-0.566949936,0.937142666,0.777183443,9,1,1,0,0,1,0,9,1,1
-0.36661843,-0.308646227,1.824276923,3.694689342,0.719440377,-0.409269508,-0.304531366,1,1,1,0,0,0,0,5,3,0
1.140525235,-0.366933963,0.623727632,-0.930206178,-0.566949936,-0.409269508,-0.304531366,9,1,1,0,1,0,1,5,3,0
1.423114672,2.06495991,-1.297151234,-0.600963197,-0.245352358,-0.409269508,-0.304531366,4,1,0,0,0,0,2,6,3,0
0.952132277,-0.278207076,1.464112136,-0.740407283,-0.245352358,-0.409269508,-0.304531366,9,2,1,0,1,1,2,8,3,0
-1.402779701,0.219181604,-0.096601943,0.770236982,-0.566949936,-0.409269508,-0.304531366,7,2,1,0,1,0,0,8,3,0
-0.931797305,0.754781134,0.263562844,1.746345584,0.07624522,-0.409269508,-0.304531366,9,2,1,0,0,0,0,1,3,0
0.857935798,0.855489389,0.383617773,1.672750095,0.07624522,-0.409269508,-0.304531366,6,1,2,0,0,0,0,9,3,0
-0.36661843,0.000602594,-1.177096305,-0.50025358,-0.245352358,-0.409269508,-0.304531366,7,1,1,0,1,0,2,6,3,0
0.386953402,-0.322246699,0.743782561,-0.961193753,-0.566949936,5.569202456,2.940613061,0,2,1,0,0,1,2,11,0,0
-0.837600826,-0.41291651,0.263562844,0.193093404,-0.245352358,-0.409269508,-0.304531366,9,1,1,0,0,1,0,5,3,0
1.799900589,0.677387973,-1.057041376,-0.515747367,-0.245352358,-0.409269508,-0.304531366,1,1,0,0,0,0,0,1,3,0
-1.214386742,-0.383125001,0.743782561,0.018788296,-0.245352358,-0.409269508,-0.304531366,4,2,2,0,1,0,0,5,3,0
0.292756923,0.000278773,-1.057041376,-0.384050175,0.07624522,-0.409269508,-0.304531366,9,1,1,0,0,0,0,1,3,0
2.082490026,-0.263635142,-0.816931518,-0.527367707,0.397842799,-0.409269508,-0.304531366,11,1,1,0,0,0,0,5,3,0
-0.178225472,-0.426840803,-1.657316022,4.500366284,0.07624522,-0.409269508,-0.304531366,7,1,1,0,0,0,1,3,3,1
-0.837600826,-0.226395755,0.143507915,-0.081921321,-0.245352358,3.067287298,1.318040847,7,2,1,0,1,0,0,0,0,0
3.495437213,-0.239348586,-0.57682166,-0.631950772,-0.566949936,-0.409269508,-0.304531366,5,0,1,0,0,0,1,1,3,0
-1.120190263,-0.43396486,0.86383749,-0.713293156,0.07624522,-0.409269508,-0.304531366,7,1,1,0,1,0,0,5,3,0
0.575346361,0.14016934,1.704221994,-0.271720216,-0.245352358,-0.409269508,-0.304531366,6,1,1,0,0,0,0,4,3,0
-0.931797305,-0.111763208,1.584167065,-0.639697666,-0.566949936,2.152932762,1.318040847,7,2,2,0,0,0,0,4,0,0
-0.084028993,-0.01850283,-1.417206163,-0.337568813,0.397842799,-0.409269508,-0.304531366,0,1,1,0,1,0,0,8,3,0
-0.36661843,-0.425221699,-1.297151234,0.336410937,-0.566949936,-0.409269508,-0.304531366,4,1,2,0,0,0,0,3,3,1
0.010167486,-0.333580425,-1.177096305,-0.856610688,0.07624522,-0.409269508,-0.304531366,6,1,0,0,0,0,2,6,3,0
1.046328756,-0.020769576,-0.096601943,0.115624467,-0.566949936,-0.409269508,-0.304531366,2,1,1,0,0,0,0,6,3,1
-0.743404347,1.251522173,-1.057041376,-0.740407283,0.07624522,-0.409269508,-0.304531366,9,2,1,0,0,0,0,1,3,0
-1.025993784,-0.371791275,-0.45676673,-0.566102176,0.397842799,-0.409269508,-0.304531366,4,2,2,0,1,0,0,1,3,0
2.836061859,3.862165103,-0.57682166,0.02653519,-0.566949936,1.509870232,0.777183443,4,1,2,0,0,0,0,1,0,0
-0.743404347,-0.051532547,-1.057041376,0.766363535,-0.566949936,-0.409269508,-0.304531366,10,1,1,0,0,0,0,1,3,1
-0.46081491,0.041080189,0.623727632,0.762490088,-0.245352358,0.545276436,1.318040847,9,1,1,0,0,1,0,9,1,0
-1.120190263,1.689004013,-0.696876589,-0.318201578,-0.566949936,-0.409269508,-0.304531366,4,1,2,0,0,0,0,5,3,0
-0.46081491,-0.39963986,-1.417206163,-0.852737242,-0.245352358,-0.409269508,-0.304531366,1,1,1,0,1,0,2,6,3,0
-0.46081491,-0.443679482,-0.57682166,-0.275593663,-0.566949936,1.349104599,0.236326038,2,1,1,0,1,0,0,8,0,0
-0.743404347,-0.111439387,-1.417206163,-0.662938347,-0.566949936,-0.389173803,2.399755656,9,1,1,0,0,0,0,1,0,0
-0.272421951,-0.320303774,1.584167065,-0.51187392,-0.245352358,-0.409269508,-0.304531366,9,1,1,0,1,0,2,8,3,0
-0.178225472,-0.213766746,-1.537261093,-0.945699966,1.041037955,-0.409269508,-0.304531366,1,1,0,0,0,0,0,3,3,0
0.386953402,-0.28856934,-1.657316022,-0.678432134,-0.245352358,-0.409269508,-0.304531366,0,0,1,0,0,0,0,3,3,0
0.952132277,4.159432557,-0.336711801,-0.492506686,-0.245352358,-0.409269508,-0.304531366,0,0,1,0,0,0,0,1,3,0
-0.46081491,-0.155155189,1.584167065,-0.097415109,0.719440377,-0.409269508,-0.304531366,4,2,2,0,1,0,2,8,3,0
-0.931797305,-0.377943869,1.344057206,0.65016013,-0.245352358,-0.409269508,-0.304531366,1,1,1,0,1,0,2,8,3,0
-0.649207868,-0.291483727,0.503672703,-0.159390258,-0.566949936,-0.409269508,-0.304531366,1,1,1,0,1,1,0,0,3,0
0.575346361,-0.200490095,0.983892419,-0.616456985,-0.566949936,-0.409269508,-0.304531366,9,1,3,0,1,0,0,5,3,0
-0.931797305,-0.511034199,0.503672703,-0.027693066,0.397842799,-0.409269508,-0.304531366,4,2,2,0,1,1,0,9,3,0
-1.308583221,-0.282740567,0.503672703,-0.012199278,-0.245352358,2.333794099,0.236326038,1,2,0,0,1,0,0,0,1,0
1.70570411,13.84782574,-1.537261093,-0.546734942,-0.566949936,-0.409269508,-0.304531366,10,0,1,0,0,0,0,3,3,0
0.010167486,0.221124529,1.824276923,-0.686179028,0.397842799,-0.409269508,-0.304531366,1,1,0,0,0,0,0,5,3,0
0.386953402,-0.335199529,-1.297151234,0.150485489,-0.566949936,-0.409269508,-0.304531366,4,0,2,0,0,0,0,1,3,0
-0.931797305,0.498638916,0.86383749,4.391909772,-0.245352358,-0.409269508,-0.304531366,1,1,1,0,1,0,2,8,3,1
-0.272421951,-0.390572878,-1.057041376,0.196966851,-0.245352358,-0.409269508,-0.304531366,1,1,1,0,1,0,2,8,3,0
-0.837600826,-0.535320756,0.263562844,-0.906965497,-0.245352358,3.107478706,0.777183443,1,1,0,0,1,0,0,8,1,0
-0.36661843,-0.293102831,0.263562844,2.482300483,0.07624522,-0.409269508,-0.304531366,3,2,1,0,1,0,0,8,3,1
-0.555011389,-0.611418634,1.824276923,-0.821749667,0.719440377,-0.409269508,-0.304531366,1,1,1,0,1,0,0,5,3,0
-0.931797305,0.899529011,0.623727632,0.224080978,0.07624522,0.595515696,4.563185274,4,1,2,0,1,0,0,9,1,1
-1.402779701,-0.320951416,0.383617773,0.940668643,0.07624522,-0.409269508,-0.304531366,9,0,1,0,1,1,2,8,3,0
1.140525235,-0.432021935,-1.657316022,-0.90309205,-0.566949936,3.790732645,0.236326038,7,0,1,0,1,1,2,5,2,1
1.799900589,1.496006843,-1.177096305,0.533956725,0.07624522,-0.409269508,-0.304531366,4,1,2,0,1,0,0,8,3,1
0.857935798,-0.18138467,-0.216656872,-0.926332731,3.613818582,-0.409269508,-0.304531366,1,1,1,0,1,0,2,8,3,0
-0.555011389,-0.178146463,-0.936986447,0.11175102,0.397842799,-0.409269508,-0.304531366,4,1,2,0,1,0,2,8,3,0
0.292756923,-0.418745284,1.584167065,-0.910838944,-0.566949936,-0.409269508,-0.304531366,1,1,0,0,1,0,2,8,3,0
-0.931797305,-0.176203538,-0.45676673,-0.0470603,-0.245352358,-0.409269508,-0.304531366,9,2,1,0,1,0,0,1,3,0
-0.46081491,-0.288893161,-0.336711801,1.362874348,-0.566949936,-0.409269508,-0.304531366,1,2,1,0,1,0,0,8,3,1
-0.931797305,-0.348152359,-0.45676673,-0.089668215,1.041037955,-0.409269508,-0.304531366,1,1,0,0,1,0,0,8,3,0
1.611507631,-0.203404482,0.503672703,-0.980560987,-0.566949936,-0.409269508,-0.304531366,5,1,0,0,0,0,2,10,3,0
-0.46081491,-0.037932076,-0.57682166,-0.477012899,-0.245352358,-0.409269508,-0.304531366,7,1,1,0,1,0,0,8,3,0
-0.743404347,-0.158069576,0.743782561,-0.59708975,-0.566949936,1.439535268,1.858898252,0,1,2,0,0,0,0,0,0,1
0.66954284,-0.421983492,-0.216656872,0.27056234,0.397842799,-0.409269508,-0.304531366,9,1,3,0,1,0,2,8,3,0
-1.402779701,-0.432993397,-0.936986447,-0.019946172,-0.566949936,-0.409269508,-0.304531366,4,2,2,0,0,1,0,5,3,0
-1.214386742,-0.29277901,1.103947348,-0.523494261,-0.245352358,-0.409269508,-0.304531366,4,1,1,0,1,0,0,8,3,0
-0.743404347,-0.431050473,0.023452986,0.286056128,0.07624522,-0.409269508,-0.304531366,3,2,0,0,1,0,0,5,3,0
-0.178225472,-0.383448822,-1.657316022,-0.337568813,-0.566949936,-0.409269508,-0.304531366,9,1,1,0,0,0,0,3,3,0
0.857935798,-0.146735849,1.704221994,-0.775268305,-0.245352358,-0.409269508,-0.304531366,1,1,1,0,1,0,0,5,3,0
-0.931797305,-0.360781369,0.023452986,2.381590865,-0.245352358,-0.409269508,-0.304531366,10,0,2,0,1,0,0,5,3,1
0.481149881,-0.224776652,0.503672703,2.195665417,1.041037955,1.349104599,1.858898252,1,1,0,0,1,0,0,9,0,0
-0.649207868,-0.319979954,-1.297151234,-0.42665809,-0.566949936,0.545276436,0.236326038,4,2,2,0,0,0,0,3,0,0
1.140525235,-0.536292218,-0.816931518,-0.51187392,-0.566949936,-0.409269508,-0.304531366,3,1,0,0,1,0,0,5,3,0
-0.272421951,-0.372115095,-1.417206163,-0.639697666,-0.245352358,2.353889803,0.777183443,0,2,1,0,1,0,0,3,0,0
-0.46081491,1.985947646,-1.297151234,-0.252352982,-0.566949936,2.966808778,0.236326038,9,2,1,0,1,0,1,8,0,0
1.046328756,0.039784906,-0.936986447,-0.635824219,-0.245352358,-0.409269508,-0.304531366,1,1,1,0,0,0,0,1,3,0
0.857935798,-0.400287501,-0.936986447,0.018788296,-0.245352358,-0.409269508,-0.304531366,1,0,0,0,0,0,2,8,3,0
0.481149881,-0.442384199,-0.816931518,-0.697799368,-0.566949936,-0.409269508,-0.304531366,9,1,1,1,0,1,0,5,3,0
0.292756923,-0.406116275,-0.096601943,-0.380176728,-0.566949936,-0.409269508,-0.304531366,1,2,0,0,1,0,2,8,3,0
-1.120190263,0.315356369,-0.816931518,0.02653519,-0.245352358,-0.409269508,-0.304531366,4,2,2,0,1,0,0,7,3,0
0.104363965,-0.374381841,0.023452986,-0.508000473,-0.566949936,-0.409269508,-0.304531366,9,0,1,0,0,0,0,0,3,1
-1.214386742,-0.030160378,1.224002277,0.839959025,-0.566949936,-0.409269508,-0.304531366,0,2,1,0,0,0,0,7,3,1
-0.931797305,-0.443679482,-1.657316022,-0.430531537,-0.566949936,-0.409269508,-0.304531366,1,1,1,0,0,0,2,6,3,0
-0.931797305,-0.27108302,-0.57682166,-0.442151877,-0.566949936,0.51513288,4.563185274,4,2,2,0,0,0,0,3,2,1
0.010167486,-0.231253067,-1.177096305,-0.310454685,-0.566949936,-0.409269508,-0.304531366,1,2,1,0,0,0,2,6,3,0
-0.931797305,-0.349447642,-0.096601943,-0.814002773,-0.566949936,-0.409269508,-0.304531366,4,2,2,0,1,0,0,8,3,0
-0.743404347,-0.377296227,-1.777370951,-0.395670515,-0.245352358,-0.409269508,-0.304531366,0,1,2,0,0,0,2,5,3,0
-0.46081491,-0.400611322,-0.816931518,-0.546734942,-0.566949936,-0.409269508,-0.304531366,4,0,2,0,1,0,2,8,3,0
0.763739319,-0.434936322,0.743782561,-0.779141752,-0.245352358,-0.409269508,-0.304531366,9,1,1,0,0,0,0,1,3,0
0.198560444,0.449741982,-0.936986447,0.274435787,-0.245352358,-0.409269508,-0.304531366,4,1,2,0,1,1,0,1,3,0
1.799900589,-0.39122052,1.344057206,-0.713293156,-0.566949936,-0.409269508,-0.304531366,0,0,1,0,0,0,2,8,3,0
-1.025993784,-0.314475001,0.86383749,-0.387923621,0.07624522,-0.409269508,-0.304531366,7,2,1,0,1,1,2,8,3,0
-0.084028993,1.373926418,0.383617773,-0.411164302,-0.245352358,-0.409269508,-0.304531366,10,2,0,0,1,0,2,6,3,0
-0.743404347,-0.333256605,-0.45676673,0.119497914,0.07624522,-0.409269508,-0.304531366,9,2,1,0,0,1,2,8,3,0
1.046328756,-0.334551888,-0.936986447,-0.043186853,-0.566949936,2.223267727,1.858898252,9,1,1,0,1,0,0,8,0,0
0.010167486,-0.293102831,0.743782561,4.841229605,-0.566949936,-0.409269508,-0.304531366,4,0,3,0,1,0,0,5,3,1
-0.649207868,-0.029512736,0.623727632,0.313170256,0.07624522,0.51513288,5.104042679,9,2,1,0,1,0,0,10,2,1
-0.46081491,0.895643162,1.704221994,2.145310608,0.07624522,-0.409269508,-0.304531366,9,2,1,0,1,0,2,8,3,1
0.857935798,-0.443679482,-1.057041376,-0.786888645,-0.566949936,-0.409269508,-0.304531366,4,1,1,0,1,1,0,8,3,0
-0.837600826,-0.398992218,-0.096601943,-0.167137152,-0.245352358,-0.409269508,-0.304531366,1,2,1,0,1,0,0,8,3,0
-0.272421951,-0.186565802,-1.177096305,-0.80625588,0.07624522,-0.409269508,-0.304531366,4,1,1,0,1,0,2,6,3,0
-0.36661843,-0.551187973,0.86383749,0.10013068,-0.245352358,-0.409269508,-0.304531366,0,2,1,0,1,0,2,8,3,0
1.046328756,6.924861809,1.584167065,-0.728786943,-0.245352358,-0.409269508,-0.304531366,9,1,1,0,1,0,2,8,3,0
1.517311152,0.417036086,0.623727632,-0.58546941,-0.566949936,1.509870232,0.236326038,7,1,1,0,1,0,0,9,0,0
-1.967958575,-0.349123822,-1.297151234,0.49134881,-0.245352358,0.535228584,0.236326038,8,1,3,0,0,0,0,1,0,1
0.386953402,-0.204052123,0.383617773,-0.577722516,-0.245352358,-0.409269508,-0.304531366,0,1,1,0,0,1,0,1,3,0
0.104363965,-0.328399293,0.383617773,-0.50025358,0.397842799,-0.409269508,-0.304531366,4,1,2,0,0,0,0,1,3,0
1.611507631,0.111025472,-0.096601943,1.107226857,-0.245352358,-0.409269508,-0.304531366,0,0,1,0,0,0,2,8,3,0
1.611507631,-0.395106369,-1.297151234,0.626919449,0.397842799,-0.409269508,-0.304531366,5,1,1,0,1,0,2,6,3,0
1.328918193,0.345471699,-1.417206163,-0.465392558,-0.566949936,-0.409269508,-0.304531366,9,1,1,0,0,0,0,1,3,0
-0.743404347,-0.436231605,-1.297151234,-0.329821919,-0.566949936,-0.409269508,-0.304531366,1,1,1,0,1,0,0,8,3,0
-1.49697618,-0.341352124,1.344057206,0.34415783,-0.245352358,-0.409269508,-0.304531366,4,2,2,0,0,0,0,7,3,1
-1.308583221,-0.177822642,0.023452986,-0.910838944,-0.566949936,7.418007231,21.87062222,1,1,1,0,1,1,2,11,1,0
1.517311152,-0.340704482,0.743782561,0.437120554,0.397842799,-0.409269508,-0.304531366,5,1,0,0,0,0,0,1,3,0
0.763739319,1.373926418,0.503672703,-0.000578938,0.07624522,-0.409269508,-0.304531366,4,1,2,0,0,0,0,5,3,0
1.611507631,-0.435260143,-0.45676673,1.324139879,0.397842799,-0.409269508,-0.304531366,1,2,0,0,1,0,0,8,3,0
-0.46081491,2.807804723,0.503672703,-0.647444559,-0.245352358,1.44958312,0.236326038,0,2,1,0,1,0,0,9,1,0
-1.49697618,-0.024655425,0.143507915,-0.631950772,0.397842799,-0.409269508,-0.304531366,6,2,2,0,0,0,0,0,3,0
0.104363965,-0.420364388,0.503672703,-0.519620814,-0.245352358,3.097430854,1.318040847,4,1,2,0,1,0,0,0,0,0
2.176686505,0.172875236,-0.45676673,-0.740407283,-0.245352358,-0.409269508,-0.304531366,1,1,0,0,0,0,1,1,3,0
